year,export
1970,0.8
1971,1.1
1972,1.6
1973,3.2
1974,4.5
1975,4.9
1976,7.7
1977,10
1978,12.7
1979,15
1980,17.5
1981,21.2
1982,21.8
1983,24.3
1984,29.2
1985,30
1986,34.5
1987,46.8
1988,60.5
1989,62.3
1990,64.8
1991,71.7
1992,76.7
1993,82.2
1994,95.8
1995,125
1996,129.9
1997,136.1
1998,132.5
1999,143.3
2000,172.8
2001,151
2002,162.4
2003,193.5
2004,253.6
2005,284.4
2006,325.4
2007,371.1
2008,422.1
2009,362.9
2010,465.7
2011,555.5
2012,548.2
2013,559.3
2014,572.1
2015,526.7
2016,495.1
