year,application
1948,169 
1949,233 
1950,126 
1951,30 
1952,91 
1953,76 
1954,132 
1955,156 
1956,287 
1957,469 
1958,555 
1959,703 
1960,611 
1961,858 
1962,782 
1963,771 
1964,908 
1965,1018 
1966,1060 
1967,1177 
1968,1463 
1969,1701 
1970,1846 
1971,1906 
1972,1995 
1973,2398 
1974,4455 
1975,2914 
1976,3261 
1977,3139 
1978,4015 
1979,4722 
1980,5070 
1981,5303 
1982,5924 
1983,6394 
1984,8633 
1985,10587 
1986,12759 
1987,17062 
1988,20051 
1989,23315 
1990,25820 
1991,28132 
1992,31073 
1993,36491 
1994,45712 
1995,78499 
1996,90326 
1997,92734 
1998,75188 
1999,80642 
2000,102010 
2001,104612 
2002,106136 
2003,118652 
2004,140115 
2005,160921 
2006,166189 
2007,172469 
2008,170632 
2009,163523 
2010,170101 
2011,178924 
2012,188915 
2013,204589 
2014,210292 
2015,213694 
2016,208830 
