year,registration
1948,4 
1949,7 
1950,5 
1951,0 
1952,21 
1953,8 
1954,29 
1955,52 
1956,81 
1957,58 
1958,119 
1959,191 
1960,219 
1961,188 
1962,99 
1963,223 
1964,213 
1965,288 
1966,256 
1967,428 
1968,359 
1969,317 
1970,266 
1971,229 
1972,218 
1973,199 
1974,322 
1975,442 
1976,479 
1977,274 
1978,427 
1979,1419 
1980,1632 
1981,1808 
1982,2609 
1983,2433 
1984,2365 
1985,2268 
1986,1894 
1987,2330 
1988,2174 
1989,3972 
1990,7762 
1991,8690 
1992,10502 
1993,11446 
1994,11683 
1995,12512 
1996,16516 
1997,24579 
1998,52900 
1999,62635 
2000,34956 
2001,34675 
2002,45298 
2003,44165 
2004,49068 
2005,73512 
2006,120790 
2007,123705 
2008,83523 
2009,56732 
2010,68843 
2011,94720 
2012,113467 
2013,127330 
2014,129786 
2015,101873 
2016,108875 
